Date,Type,Details,Amount (BDT),Main Category,Sub-Category,Payment Method
2025-08-08,expense,C n T,50,c n t,Cigarette,n/a
2025-08-08,expense,Home,350,family and gift,Snacks Item,n/a
2025-08-07,expense,Loan Anu da,1020,loan,Anu,n/a
2025-08-07,expense,Gher,500,gher,Gher,n/a
2025-08-07,expense,C n T,200,c n t,Group Bill,n/a
2025-08-06,expense,SSR JM,15000,others essential,Others,n/a
2025-08-06,expense,Laptop Charger Abbu,1300,family and gift,Gadget Abbu,n/a
2025-08-06,expense,C n T,100,pocket money,cigarette,n/a
2025-08-05,expense,C n T,420,pocket money,cigarette,n/a
2025-08-05,expense,Sajib Vai loan,5000,loan,Sajib,n/a
2025-08-05,expense,Medicine,90,medicine n dr,Medicine,n/a
2025-08-05,expense,C n T,180,pocket money,cigarette,n/a
2025-08-05,expense,Home snacks food,300,home snacks,Snacks Item,n/a
2025-08-04,expense,Group Bill,500,pocket money,Others Resturent,n/a
2025-08-04,expense,Vaia to sumon vai,500,pocket money,SumonVaiya,n/a
2025-08-04,expense,Home snacks food,300,home snacks,Snacks Item,n/a
2025-08-04,expense,Home snacks food,350,home snacks,Snacks Item,n/a
2025-08-04,expense,Mobile recharge Sajib Vai,297,loan,Sajib,n/a
2025-08-04,expense,Mobile recharge personal,599,phone bill,Personal Load,n/a
2025-08-04,expense,Bike oil,300,family and gift,Abbu Bike,n/a
2025-08-03,expense,Jawad to buy some food,2040,jawad,Jawad,n/a
2025-08-03,expense,Bus others (Takerhat),1500,business purpus,Bus,n/a
2025-08-03,expense,Abbu,10000,family bazer,Bazer Abbu,n/a
2025-08-02,expense,Trip,14340,trip,Trip Expense,n/a
2025-08-02,expense,Trip Gari vara,700,trip,Trip Expense,n/a
2025-07-31,expense,Mobile ammu,2420,family and gift,Load Ammu,n/a
2025-07-31,expense,Saiful Vai gher,5000,gher,Gher,n/a
2025-07-31,expense,Sof VEO 3,3060,skill dev,VEO 3,n/a
2025-07-31,expense,Jawad,8000,jawad,Jawad,n/a
2025-07-31,expense,Others Expence,10000,others essential,Others Essential,n/a
2025-07-31,expense,Abbu,5000,family bazer,Bazer Abbu,n/a
2025-07-31,expense,Gher,15200,gher,Gher,n/a
2025-07-31,expense,Bazer family,5000,family bazer,Fish,n/a
2025-07-31,expense,Ultimate organic,9253,pocket money,Personal Health,n/a
2025-07-31,expense,Sadik,2000,loan,Sadik,n/a
2025-07-31,expense,Bike,1500,family and gift,Abbu Bike,n/a
